view,country,x,textArray,arrowDirection,arrowPath1,arrowPath2,arrowPath3,textOffsetX,textOffsetY,textAnchor,xUnformatted,manualTextSplit,textLines
0,Croatia,2022-Nov-27 16:33:13.000,"Croatia's odds dipped after they conceded|to Canada, putting them at risk|of securing just a single point from their|opening two games",s,30,0,-25,0,0,middle,Sun Nov 27 2022 16:33:13 GMT+0000 (Greenwich Mean Time),T,
0,Croatia,2022-Dec-05 16:44:33.000,Perisic's equaliser boosted|Croatia's title chances,s,20,-10,0,0,-10,end,Mon Dec 05 2022 16:44:33 GMT+0000 (Greenwich Mean Time),T,
0,Croatia,2022-Dec-09 15:01:08.000,"Even after Croatia reached the quarter|finals, bookmakers gave them just|a 1 in 50 chance of winning|the World Cup",s,20,0,-5,-10,0,middle,Fri Dec 09 2022 15:01:08 GMT+0000 (Greenwich Mean Time),T,
0,Croatia,2022-Dec-09 17:58:58.000,"Petkovic's equaliser against Brazil|came in the 117th minute, giving|Croatia the momentum as the|game headed to penalties",se,40,-20,0,0,-10,end,Fri Dec 09 2022 17:58:58 GMT+0000 (Greenwich Mean Time),T,
0,Croatia,2022-Dec-13 19:31:30.000,Croatia started well in their semi-final|and their title odds peaked at 13%|in the moments before Argentina's|opening goal,sw,10,15,0,0,-15,start,Tue Dec 13 2022 19:31:30 GMT+0000 (Greenwich Mean Time),T,
0,Denmark,2022-Nov-22 12:31:29.000,"On the eve of their first game Denmark|had better title odds than Morocco,|Croatia and Japan combined",sw,10,15,0,0,-15,start,Tue Nov 22 2022 12:31:29 GMT+0000 (Greenwich Mean Time),T,
0,Denmark,2022-Nov-26 17:49:53.000,"Denmark looked set to secure a second|consecutive draw, until a late Mbappe|winner left the Danes requiring|a victory in their final group game",sw,35,25,0,0,-15,start,Sat Nov 26 2022 17:49:53 GMT+0000 (Greenwich Mean Time),T,
0,Denmark,2022-Nov-30 16:33:17.000,"Australia's goal sunk the Danes, putting|an end to their disappointing tournament",sw,10,25,0,0,-5,start,Wed Nov 30 2022 16:33:17 GMT+0000 (Greenwich Mean Time),T,
0,Ecuador,2022-Nov-25 17:17:00.000,Ecuador's equaliser against the Netherlands|increased their title chances,s,10,0,-40,0,0,middle,Fri Nov 25 2022 17:17:00 GMT+0000 (Greenwich Mean Time),T,
0,Ecuador,2022-Nov-29 16:35:11.000,"Ecuador only needed a draw|against Senegal to qualify. In the|67th minute they equalised through|Moises Caicedo, but conceded once|more leaving their odds unchanged",sw,10,20,0,0,-25,start,Tue Nov 29 2022 16:35:11 GMT+0000 (Greenwich Mean Time),T,
0,England,2022-Nov-12 00:16:00.000,England's title odds fell before the|tournament due to poor results|in the nations league,s,40,0,-20,-30,0,start,Sat Nov 12 2022 00:16:00 GMT+0000 (Greenwich Mean Time),T,
0,England,2022-Nov-25 20:48:46.000,"After improving following a convincing|victory over Iran, England's odds decreased|during a shaky performance against the USA",sw,10,0,-10,-20,0,middle,Fri Nov 25 2022 20:48:46 GMT+0000 (Greenwich Mean Time),T,
0,England,2022-Dec-10 18:19:06.000,"Morocco's shock win against Portugal|improved both England and France's|odds, since it was viewed as giving|them an easier potential semi-final",e,20,-20,0,0,-20,end,Sat Dec 10 2022 18:19:06 GMT+0000 (Greenwich Mean Time),T,
0,England,2022-Dec-09 21:05:47.000,Every top team saw their|chances increase once Brazil|were eliminated by Croatia,e,20,3,0,0,-10,end,Fri Dec 09 2022 21:05:47 GMT+0000 (Greenwich Mean Time),T,
0,England,2022-Dec-10 19:54:23.000,Tchouameni's long range strike|gave France the early advantage,ne,20,0,20,20,0,end,Sat Dec 10 2022 19:54:23 GMT+0000 (Greenwich Mean Time),T,
0,England,2022-Dec-10 20:27:26.000,"Following Kane's equaliser from the penalty spot England|looked more threatening that France, which was|reflected in their title chances surpassing their pre-game",se,35,-15,0,0,-10,end,Sat Dec 10 2022 20:27:26 GMT+0000 (Greenwich Mean Time),T,
0,England,2022-Dec-10 20:55:12.000,There was too little time between the|penalty award and Kane's miss for|changes in odds to be detected,w,10,2,0,0,-10,start,Sat Dec 10 2022 20:55:12 GMT+0000 (Greenwich Mean Time),T,
0,France,2022-Nov-20 16:01:39.000,France's chances of defending their title fell|slightly before the World Cup began as news|came out that Benzema would join Pogba| and Kante in missing the tournament,s,10,0,-5,-25,0,start,Sun Nov 20 2022 16:01:39 GMT+0000 (Greenwich Mean Time),T,
0,France,2022-Dec-09 20:53:30.000,France's odds improved following|Portugal's elimination to Morocco,e,10,-15,0,0,-5,end,Fri Dec 09 2022 20:53:30 GMT+0000 (Greenwich Mean Time),T,
0,France,2022-Dec-10 20:35:43.000,"After Kane equalised for|England, France's title odds|fell to 23%, exactly equal|to their opponents chances",w,5,2,0,0,-10,start,Sat Dec 10 2022 20:35:43 GMT+0000 (Greenwich Mean Time),T,
0,France,2022-Dec-17 12:22:23.000,"As the final began bookmakers assessed the contest as a coin toss,|both France and Argentina were given 50% chances of victory",s,20,-30,0,0,-5,end,Sat Dec 17 2022 12:22:23 GMT+0000 (Greenwich Mean Time),T,
0,France,2022-Dec-18 16:13:42.000,"Following Argentina's second goal,|France's odds fell below 10%. It looked|as though they were dead and buried",e,10,-2,0,0,-5,end,Sun Dec 18 2022 16:13:42 GMT+0000 (Greenwich Mean Time),T,
0,France,2022-Dec-18 16:57:21.000,"France's odds peaked just|above 50% after Mbappe's|two goals in 95 seconds,|and as both teams frantically|searched for a winner at|the end of normal time",s,15,10,0,0,-25,start,Sun Dec 18 2022 16:57:21 GMT+0000 (Greenwich Mean Time),T,
